,5.223.62.210,5.223.8.141,5.223.0.133,5.223.0.81,5.223.0.69,62.115.170.54,62.115.136.198,62.115.140.42,62.115.136.250,62.115.138.104,62.115.122.35,62.115.137.118,213.248.95.243,213.239.224.26,213.239.228.14,213.239.228.62,65.108.117.172,65.108.94.222,5.223.0.181,5.223.0.77,103.60.60.117,132.147.112.109,184.105.64.138,5.78.0.78,5.78.8.250,5.78.98.32,5.223.0.85,62.115.140.50,5.223.0.73
5.223.62.210,,0.0,0.0,0.0,0.0,0.694,0.694,,154.45000000000002,170.55100000000002,170.55100000000002,170.55100000000002,170.55100000000002,170.55100000000002,170.55100000000002,170.55100000000002,180.72199999999998,182.034,,,1.0739999999999998,1.0739999999999998,147.89700000000002,147.89700000000002,153.557,153.698,,151.502,0.0
5.223.8.141,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5.223.0.133,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
5.223.0.81,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
5.223.0.69,,,,,,0.694,,,,,,,,,,,,,,,,,,,,,,,
62.115.170.54,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
62.115.136.198,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.80800000000002,
62.115.140.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.115.136.250,,,,,,,,,,16.101,,,,,,,,,,,,,,,,,,,
62.115.138.104,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
62.115.122.35,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
62.115.137.118,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
213.248.95.243,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
213.239.224.26,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
213.239.228.14,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
213.239.228.62,,,,,,,,,,,,,,,,,10.170999999999964,,,,,,,,,,,,
65.108.117.172,,,,,,,,,,,,,,,,,,1.3120000000000118,,,,,,,,,,,
65.108.94.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.223.0.181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.223.0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.60.60.117,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,
132.147.112.109,,,,,,,,,,,,,,,,,,,,,,,146.823,,,,,,
184.105.64.138,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
5.78.0.78,,,,,,,,,,,,,,,,,,,,,,,,,5.659999999999968,,,,
5.78.8.250,,,,,,,,,,,,,,,,,,,,,,,,,,0.14100000000001955,,,
5.78.98.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.223.0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.115.140.50,,,,,,,,,2.9480000000000075,,,,,,,,,,,,,,,,,,,,
5.223.0.73,,,,,,,,,,,,,,,,,,,,,1.0739999999999998,,,,,,,,
