,5.223.62.210,5.223.8.141,5.223.0.133,5.223.0.81,5.223.0.69,62.115.170.54,62.115.136.198,62.115.140.42,62.115.136.250,62.115.138.104,62.115.122.35,62.115.137.118,213.248.95.243,213.239.224.26,213.239.228.14,213.239.228.62,65.108.117.172,65.108.94.222,5.223.0.181,5.223.0.77,103.60.60.117,132.147.112.109,184.105.64.138,5.78.0.78,5.78.8.250,5.78.98.32,5.223.0.85,62.115.140.50,5.223.0.73
5.223.62.210,,0.0,0.0,,0.0,2.4640000000000004,2.4640000000000004,,153.39,175.43200000000002,179.06699999999998,179.06699999999998,179.5,180.329,180.329,180.329,180.329,182.32,0.0,,0.0,1.26,151.556,151.556,152.799,152.988,0.0,132.936,0.0
5.223.8.141,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
5.223.0.133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
5.223.0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.223.0.69,,,,,,2.4640000000000004,,,,,,,,,,,,,,,,,,,,,,,
62.115.170.54,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
62.115.136.198,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.472,
62.115.140.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.115.136.250,,,,,,,,,,22.04200000000003,,,,,,,,,,,,,,,,,,,
62.115.138.104,,,,,,,,,,,3.6349999999999625,,,,,,,,,,,,,,,,,,
62.115.122.35,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
62.115.137.118,,,,,,,,,,,,,0.43300000000002115,,,,,,,,,,,,,,,,
213.248.95.243,,,,,,,,,,,,,,0.8290000000000077,,,,,,,,,,,,,,,
213.239.224.26,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
213.239.228.14,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
213.239.228.62,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
65.108.117.172,,,,,,,,,,,,,,,,,,1.9909999999999854,,,,,,,,,,,
65.108.94.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.223.0.181,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
5.223.0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.60.60.117,,,,,,,,,,,,,,,,,,,,,,1.26,,,,,,,
132.147.112.109,,,,,,,,,,,,,,,,,,,,,,,150.29600000000002,,,,,,
184.105.64.138,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
5.78.0.78,,,,,,,,,,,,,,,,,,,,,,,,,1.242999999999995,,,,
5.78.8.250,,,,,,,,,,,,,,,,,,,,,,,,,,0.18899999999999295,,,
5.78.98.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.223.0.85,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
62.115.140.50,,,,,,,,,20.45399999999998,,,,,,,,,,,,,,,,,,,,
5.223.0.73,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
