,5.223.62.210,5.223.8.141,5.223.0.133,5.223.0.81,5.223.0.69,62.115.170.54,62.115.136.198,62.115.140.42,62.115.136.250,62.115.138.104,62.115.122.35,62.115.137.118,213.248.95.243,213.239.224.26,213.239.228.14,213.239.228.62,65.108.117.172,65.108.94.222,5.223.0.181,5.223.0.77,103.60.60.117,132.147.112.109,184.105.64.138,5.78.0.78,5.78.8.250,5.78.98.32,5.223.0.85,62.115.140.50,5.223.0.73,184.105.64.254
5.223.62.210,,0.0,0.0,0.0,0.0,2.001,2.4850000000000003,,154.47299999999998,171.071,171.071,171.071,171.071,171.071,171.071,171.071,180.71800000000002,182.015,,,0.8370000000000001,1.1809999999999998,152.152,152.152,153.752,153.84,,151.497,0.0,68.472
5.223.8.141,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.223.0.133,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
5.223.0.81,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
5.223.0.69,,,,,,2.001,,,,,,,,,,,,,,,,,,,,,,,,
62.115.170.54,,,,,,,0.48400000000000043,,,,,,,,,,,,,,,,,,,,,,,
62.115.136.198,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.012,,
62.115.140.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.115.136.250,,,,,,,,,,16.598000000000013,,,,,,,,,,,,,,,,,,,,
62.115.138.104,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
62.115.122.35,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
62.115.137.118,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
213.248.95.243,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
213.239.224.26,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
213.239.228.14,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
213.239.228.62,,,,,,,,,,,,,,,,,9.64700000000002,,,,,,,,,,,,,
65.108.117.172,,,,,,,,,,,,,,,,,,1.2969999999999686,,,,,,,,,,,,
65.108.94.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.223.0.181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.223.0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.60.60.117,,,,,,,,,,,,,,,,,,,,,,0.34399999999999975,,,,,,,,
132.147.112.109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.291
184.105.64.138,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
5.78.0.78,,,,,,,,,,,,,,,,,,,,,,,,,1.6000000000000227,,,,,
5.78.8.250,,,,,,,,,,,,,,,,,,,,,,,,,,0.08799999999999386,,,,
5.78.98.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.223.0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.115.140.50,,,,,,,,,2.9759999999999707,,,,,,,,,,,,,,,,,,,,,
5.223.0.73,,,,,,,,,,,,,,,,,,,,,0.8370000000000001,,,,,,,,,
184.105.64.254,,,,,,,,,,,,,,,,,,,,,,,83.67999999999999,,,,,,,
