,172.18.188.249,172.20.0.1,185.71.170.73,193.142.188.164,185.239.65.234,45.153.82.2,94.103.180.2,94.103.180.3,94.103.180.71,94.103.180.39,194.68.123.71,213.239.252.73,213.239.254.69,213.239.228.14,213.239.228.62,65.108.117.172,65.108.94.222,193.142.188.4,193.178.185.34,184.104.194.238,103.16.103.48,5.223.0.86,5.223.8.141,5.223.62.210,213.248.99.52,62.115.112.156,62.115.137.40,62.115.137.214,62.115.139.244,62.115.115.76,62.115.139.107,62.115.115.25,62.115.112.45,80.239.132.87,5.78.0.74,5.78.8.250,5.78.98.32
172.18.188.249,,1.743,1.8599999999999999,7.034999999999998,7.034999999999998,7.034999999999998,11.969000000000001,21.624,21.624,21.624,28.412000000000003,29.511,32.879999999999995,32.879999999999995,32.879999999999995,34.861000000000004,34.861000000000004,11.065000000000001,11.579,22.376,172.5,172.5,172.5,172.5,21.898,21.898,21.898,34.897999999999996,103.776,142.94,167.50799999999998,180.863,180.863,180.863,180.863,182.94600000000003,183.582
172.20.0.1,,,0.11699999999999977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185.71.170.73,,,,5.174999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193.142.188.164,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185.239.65.234,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
45.153.82.2,,,,,,,4.934000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94.103.180.2,,,,,,,,0.0,,,,,,,,,,,,,,,,,9.928999999999998,,,,,,,,,,,,
94.103.180.3,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94.103.180.71,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
94.103.180.39,,,,,,,,,,,6.788000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,
194.68.123.71,,,,,,,,,,,,1.0989999999999966,,,,,,,,,,,,,,,,,,,,,,,,,
213.239.252.73,,,,,,,,,,,,,3.368999999999996,,,,,,,,,,,,,,,,,,,,,,,,
213.239.254.69,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
213.239.228.14,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
213.239.228.62,,,,,,,,,,,,,,,,1.9810000000000088,,,,,,,,,,,,,,,,,,,,,
65.108.117.172,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
65.108.94.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193.142.188.4,,,,,,,,,,,,,,,,,,,0.5139999999999993,,,,,,,,,,,,,,,,,,
193.178.185.34,,,,,,,,,,,,,,,,,,,,10.797,,,,,,,,,,,,,,,,,
184.104.194.238,,,,,,,,,,,,,,,,,,,,,150.124,,,,,,,,,,,,,,,,
103.16.103.48,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
5.223.0.86,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
5.223.8.141,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
5.223.62.210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213.248.99.52,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
62.115.112.156,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
62.115.137.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.999999999999996,,,,,,,,,
62.115.137.214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.878,,,,,,,,
62.115.139.244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.164,,,,,,,
62.115.115.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.567999999999984,,,,,,
62.115.139.107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.355000000000018,,,,,
62.115.115.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
62.115.112.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
80.239.132.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
5.78.0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.083000000000027,
5.78.8.250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6359999999999673
5.78.98.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
