,5.78.98.32,5.78.8.250,5.78.0.185,5.78.0.77,4.39.3.245,171.75.10.35,212.133.6.2,213.239.224.26,213.239.228.6,213.239.228.38,65.108.117.172,65.108.94.222,198.32.195.42,184.105.64.137,5.223.0.82,5.223.8.141,5.223.62.210,184.105.213.118,184.105.64.253
5.78.98.32,,0.0,0.0,0.0,0.0,174.25400000000002,174.25400000000002,174.25400000000002,174.25400000000002,174.25400000000002,177.102,177.18699999999998,0.7119999999999997,0.7119999999999997,141.655,153.25300000000001,153.76399999999998,85.769,
5.78.8.250,,,0.0,,,,,,,,,,,,,,,,
5.78.0.185,,,,0.0,,,,,,,,,,,,,,,
5.78.0.77,,,,,0.0,,,,,,,,0.35799999999999976,,,,,,
4.39.3.245,,,,,,174.25400000000002,,,,,,,,,,,,,
171.75.10.35,,,,,,,0.0,,,,,,,,,,,,
212.133.6.2,,,,,,,,0.0,,,,,,,,,,,
213.239.224.26,,,,,,,,,0.0,,,,,,,,,,
213.239.228.6,,,,,,,,,,0.0,,,,,,,,,
213.239.228.38,,,,,,,,,,,2.8479999999999848,,,,,,,,
65.108.117.172,,,,,,,,,,,,0.08499999999997954,,,,,,,
65.108.94.222,,,,,,,,,,,,,,,,,,,
198.32.195.42,,,,,,,,,,,,,,0.0,,,,,
184.105.64.137,,,,,,,,,,,,,,,,,,85.057,
5.223.0.82,,,,,,,,,,,,,,,,11.598000000000013,,,
5.223.8.141,,,,,,,,,,,,,,,,,0.5109999999999673,,
5.223.62.210,,,,,,,,,,,,,,,,,,,
184.105.213.118,,,,,,,,,,,,,,,55.885999999999996,,,,
184.105.64.253,,,,,,,,,,,,,,,,,,,
