,5.78.98.32,5.78.8.250,5.78.0.185,5.78.0.77,4.39.3.245,171.75.10.35,212.133.6.2,213.239.224.26,213.239.228.6,213.239.228.38,65.108.117.172,65.108.94.222,198.32.195.42,184.105.64.137,5.223.0.82,5.223.8.141,5.223.62.210,184.105.213.118,184.105.64.253
5.78.98.32,,0.11499999999999999,0.40700000000000003,0.40700000000000003,0.6439999999999992,172.203,172.203,176.908,177.193,177.20499999999998,177.20499999999998,177.311,1.242,4.422,153.351,153.351,153.90599999999998,85.964,
5.78.8.250,,,0.29200000000000004,,,,,,,,,,,,,,,,
5.78.0.185,,,,0.0,,,,,,,,,,,,,,,
5.78.0.77,,,,,0.2369999999999992,,,,,,,,0.7570000000000001,,,,,,
4.39.3.245,,,,,,171.559,,,,,,,,,,,,,
171.75.10.35,,,,,,,0.0,,,,,,,,,,,,
212.133.6.2,,,,,,,,4.704999999999984,,,,,,,,,,,
213.239.224.26,,,,,,,,,0.285000000000025,,,,,,,,,,
213.239.228.6,,,,,,,,,,0.011999999999972033,,,,,,,,,
213.239.228.38,,,,,,,,,,,0.0,,,,,,,,
65.108.117.172,,,,,,,,,,,,0.10600000000002296,,,,,,,
65.108.94.222,,,,,,,,,,,,,,,,,,,
198.32.195.42,,,,,,,,,,,,,,3.1799999999999997,,,,,
184.105.64.137,,,,,,,,,,,,,,,,,,81.542,
5.223.0.82,,,,,,,,,,,,,,,,0.0,,,
5.223.8.141,,,,,,,,,,,,,,,,,0.5549999999999784,,
5.223.62.210,,,,,,,,,,,,,,,,,,,
184.105.213.118,,,,,,,,,,,,,,,67.387,,,,
184.105.64.253,,,,,,,,,,,,,,,,,,,
