,5.78.98.32,5.78.8.250,5.78.0.185,5.78.0.77,4.39.3.245,171.75.10.35,212.133.6.2,213.239.224.26,213.239.228.6,213.239.228.38,65.108.117.172,65.108.94.222,198.32.195.42,184.105.64.137,5.223.0.82,5.223.8.141,5.223.62.210,184.105.213.118,184.105.64.253
5.78.98.32,,0.0,0.0,0.0,0.6239999999999997,176.12800000000001,177.089,177.089,177.19199999999998,177.197,177.197,177.421,,1.5949999999999989,151.237,152.30499999999998,152.82500000000002,85.392,148.83700000000002
5.78.8.250,,,0.0,,,,,,,,,,,,,,,,
5.78.0.185,,,,0.0,,,,,,,,,,,,,,,
5.78.0.77,,,,,0.6239999999999997,,,,,,,,,1.5949999999999989,,,,,
4.39.3.245,,,,,,175.50400000000002,,,,,,,,,,,,,
171.75.10.35,,,,,,,0.9609999999999843,,,,,,,,,,,,
212.133.6.2,,,,,,,,0.0,,,,,,,,,,,
213.239.224.26,,,,,,,,,0.10299999999998022,,,,,,,,,,
213.239.228.6,,,,,,,,,,0.005000000000023874,,,,,,,,,
213.239.228.38,,,,,,,,,,,0.0,,,,,,,,
65.108.117.172,,,,,,,,,,,,0.22399999999998954,,,,,,,
65.108.94.222,,,,,,,,,,,,,,,,,,,
198.32.195.42,,,,,,,,,,,,,,,,,,,
184.105.64.137,,,,,,,,,,,,,,,,,,83.797,
5.223.0.82,,,,,,,,,,,,,,,,1.0679999999999836,,,
5.223.8.141,,,,,,,,,,,,,,,,,0.5200000000000387,,
5.223.62.210,,,,,,,,,,,,,,,,,,,
184.105.213.118,,,,,,,,,,,,,,,,,,,63.44500000000002
184.105.64.253,,,,,,,,,,,,,,,2.3999999999999773,,,,
