,5.78.98.32,5.78.8.250,5.78.0.185,5.78.0.77,4.39.3.245,171.75.10.35,212.133.6.2,213.239.224.26,213.239.228.6,213.239.228.38,65.108.117.172,65.108.94.222,198.32.195.42,184.105.64.137,5.223.0.82,5.223.8.141,5.223.62.210,184.105.213.118,184.105.64.253
5.78.98.32,,0.0,0.0,0.264,1.1790000000000003,164.413,164.413,176.72699999999998,176.72699999999998,176.72699999999998,176.72699999999998,177.317,,4.3,152.582,152.582,153.656,86.249,
5.78.8.250,,,0.0,,,,,,,,,,,,,,,,
5.78.0.185,,,,0.0,,,,,,,,,,,,,,,
5.78.0.77,,,,,0.7150000000000003,,,,,,,,,4.036,,,,,
4.39.3.245,,,,,,163.234,,,,,,,,,,,,,
171.75.10.35,,,,,,,0.0,,,,,,,,,,,,
212.133.6.2,,,,,,,,12.313999999999965,,,,,,,,,,,
213.239.224.26,,,,,,,,,0.0,,,,,,,,,,
213.239.228.6,,,,,,,,,,0.0,,,,,,,,,
213.239.228.38,,,,,,,,,,,0.0,,,,,,,,
65.108.117.172,,,,,,,,,,,,0.5900000000000318,,,,,,,
65.108.94.222,,,,,,,,,,,,,,,,,,,
198.32.195.42,,,,,,,,,,,,,,,,,,,
184.105.64.137,,,,,,,,,,,,,,,,,,81.949,
5.223.0.82,,,,,,,,,,,,,,,,0.0,,,
5.223.8.141,,,,,,,,,,,,,,,,,1.0740000000000123,,
5.223.62.210,,,,,,,,,,,,,,,,,,,
184.105.213.118,,,,,,,,,,,,,,,66.333,,,,
184.105.64.253,,,,,,,,,,,,,,,,,,,
