,5.78.98.32,5.78.8.250,5.78.0.185,5.78.0.77,4.39.3.245,171.75.10.35,212.133.6.2,213.239.224.26,213.239.228.6,213.239.228.38,65.108.117.172,65.108.94.222,198.32.195.42,184.105.64.137,5.223.0.82,5.223.8.141,5.223.62.210,184.105.213.118,184.105.64.253
5.78.98.32,,0.0,0.0,0.0,0.7959999999999998,161.498,161.498,176.92100000000002,177.121,177.121,177.121,177.281,,6.322000000000001,149.955,153.286,153.561,,
5.78.8.250,,,0.0,,,,,,,,,,,,,,,,
5.78.0.185,,,,0.0,,,,,,,,,,,,,,,
5.78.0.77,,,,,0.7959999999999998,,,,,,,,,6.322000000000001,,,,,
4.39.3.245,,,,,,160.702,,,,,,,,,,,,,
171.75.10.35,,,,,,,0.0,,,,,,,,,,,,
212.133.6.2,,,,,,,,15.42300000000003,,,,,,,,,,,
213.239.224.26,,,,,,,,,0.19999999999998863,,,,,,,,,,
213.239.228.6,,,,,,,,,,0.0,,,,,,,,,
213.239.228.38,,,,,,,,,,,0.0,,,,,,,,
65.108.117.172,,,,,,,,,,,,0.1599999999999966,,,,,,,
65.108.94.222,,,,,,,,,,,,,,,,,,,
198.32.195.42,,,,,,,,,,,,,,,,,,,
184.105.64.137,,,,,,,,,,,,,,,143.633,,,,
5.223.0.82,,,,,,,,,,,,,,,,3.330999999999989,,,
5.223.8.141,,,,,,,,,,,,,,,,,0.2750000000000057,,
5.223.62.210,,,,,,,,,,,,,,,,,,,
184.105.213.118,,,,,,,,,,,,,,,,,,,
184.105.64.253,,,,,,,,,,,,,,,,,,,
