,65.108.94.222,65.108.117.172,88.198.254.105,213.239.228.37,213.239.228.1,213.239.224.37,213.248.95.242,62.115.137.135,62.115.123.26,62.115.143.29,62.115.136.249,62.115.140.55,62.115.136.199,62.115.170.55,5.223.0.74,5.223.8.141,5.223.62.210,88.198.254.109,213.239.228.41,212.133.6.1,4.69.218.234,4.36.13.30,5.78.0.82,5.78.8.250,5.78.98.32
65.108.94.222,,0.0,0.0,0.0,0.0,0.0,0.45599999999999996,1.41,7.657,29.651999999999997,45.611,167.88299999999998,167.88299999999998,167.88299999999998,167.88299999999998,181.438,181.438,0.0,0.0,0.0,171.573,171.573,171.573,176.69500000000002,176.69500000000002
65.108.117.172,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,
88.198.254.105,,,,0.0,,,,,,,,,,,,,,,,,,,,,
213.239.228.37,,,,,0.0,,,,,,,,,,,,,,,,,,,,
213.239.228.1,,,,,,0.0,,,,,,,,,,,,,,,,,,,
213.239.224.37,,,,,,,0.45599999999999996,,,,,,,,,,,,,0.0,,,,,
213.248.95.242,,,,,,,,0.954,,,,,,,,,,,,,,,,,
62.115.137.135,,,,,,,,,6.247,,,,,,,,,,,,,,,,
62.115.123.26,,,,,,,,,,21.994999999999997,,,,,,,,,,,,,,,
62.115.143.29,,,,,,,,,,,15.959,,,,,,,,,,,,,,
62.115.136.249,,,,,,,,,,,,122.27199999999999,,,,,,,,,,,,,
62.115.140.55,,,,,,,,,,,,,0.0,,,,,,,,,,,,
62.115.136.199,,,,,,,,,,,,,,0.0,,,,,,,,,,,
62.115.170.55,,,,,,,,,,,,,,,0.0,,,,,,,,,,
5.223.0.74,,,,,,,,,,,,,,,,13.555000000000007,,,,,,,,,
5.223.8.141,,,,,,,,,,,,,,,,,0.0,,,,,,,,
5.223.62.210,,,,,,,,,,,,,,,,,,,,,,,,,
88.198.254.109,,,,,,,,,,,,,,,,,,,0.0,,,,,,
213.239.228.41,,,,,0.0,,,,,,,,,,,,,,,,,,,,
212.133.6.1,,,,,,,,,,,,,,,,,,,,,171.573,,,,
4.69.218.234,,,,,,,,,,,,,,,,,,,,,,0.0,,,
4.36.13.30,,,,,,,,,,,,,,,,,,,,,,,0.0,,
5.78.0.82,,,,,,,,,,,,,,,,,,,,,,,,5.122000000000014,
5.78.8.250,,,,,,,,,,,,,,,,,,,,,,,,,0.0
5.78.98.32,,,,,,,,,,,,,,,,,,,,,,,,,
