,65.108.94.222,65.108.117.172,88.198.254.105,213.239.228.37,213.239.228.1,213.239.224.37,213.248.95.242,62.115.137.135,62.115.123.26,62.115.143.29,62.115.136.249,62.115.140.55,62.115.136.199,62.115.170.55,5.223.0.74,5.223.8.141,5.223.62.210,88.198.254.109,213.239.228.41,212.133.6.1,4.69.218.234,4.36.13.30,5.78.0.82,5.78.8.250,5.78.98.32
65.108.94.222,,0.0,0.0,0.35300000000000004,0.0,0.45699999999999996,0.45699999999999996,0.7000000000000002,7.739999999999999,29.625,44.667,180.345,180.345,180.345,180.345,180.345,180.345,0.0,0.0,1.23,166.868,166.868,166.868,177.012,177.21800000000002
65.108.117.172,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,
88.198.254.105,,,,0.35300000000000004,,,,,,,,,,,,,,,,,,,,,
213.239.228.37,,,,,0.014000000000000012,,,,,,,,,,,,,,,,,,,,
213.239.228.1,,,,,,0.08999999999999991,,,,,,,,,,,,,,,,,,,
213.239.224.37,,,,,,,0.0,,,,,,,,,,,,,0.605,,,,,
213.248.95.242,,,,,,,,0.24300000000000022,,,,,,,,,,,,,,,,,
62.115.137.135,,,,,,,,,7.039999999999999,,,,,,,,,,,,,,,,
62.115.123.26,,,,,,,,,,21.885,,,,,,,,,,,,,,,
62.115.143.29,,,,,,,,,,,15.042000000000002,,,,,,,,,,,,,,
62.115.136.249,,,,,,,,,,,,135.678,,,,,,,,,,,,,
62.115.140.55,,,,,,,,,,,,,0.0,,,,,,,,,,,,
62.115.136.199,,,,,,,,,,,,,,0.0,,,,,,,,,,,
62.115.170.55,,,,,,,,,,,,,,,0.0,,,,,,,,,,
5.223.0.74,,,,,,,,,,,,,,,,0.0,,,,,,,,,
5.223.8.141,,,,,,,,,,,,,,,,,0.0,,,,,,,,
5.223.62.210,,,,,,,,,,,,,,,,,,,,,,,,,
88.198.254.109,,,,,,,,,,,,,,,,,,,0.0,,,,,,
213.239.228.41,,,,,0.0,,,,,,,,,,,,,,,,,,,,
212.133.6.1,,,,,,,,,,,,,,,,,,,,,165.638,,,,
4.69.218.234,,,,,,,,,,,,,,,,,,,,,,0.0,,,
4.36.13.30,,,,,,,,,,,,,,,,,,,,,,,0.0,,
5.78.0.82,,,,,,,,,,,,,,,,,,,,,,,,10.144000000000005,
5.78.8.250,,,,,,,,,,,,,,,,,,,,,,,,,0.20600000000001728
5.78.98.32,,,,,,,,,,,,,,,,,,,,,,,,,
