,65.108.117.172,88.198.254.105,213.239.228.37,213.239.228.1,213.239.224.37,213.248.95.242,62.115.137.135,62.115.123.26,62.115.143.29,62.115.136.249,62.115.140.55,62.115.136.199,62.115.170.55,5.223.0.74,5.223.8.141,5.223.62.210,88.198.254.109,213.239.228.41,212.133.6.1,4.69.218.234,4.36.13.30,5.78.0.82,5.78.8.250,5.78.98.32,62.53.206.66,62.53.8.133,80.255.14.194,80.255.15.126,213.239.252.73,213.239.254.61,213.239.228.10,213.239.228.62,65.108.94.222,62.53.6.189,62.53.6.127,62.53.2.151,62.53.28.169,176.52.252.32,94.144.107.49,129.250.2.8,129.250.6.65,116.51.31.51,5.223.0.82,62.53.4.160,62.53.0.149,62.53.28.149,62.53.8.187,176.52.252.28,94.142.107.201,195.219.50.75,80.231.245.40,80.231.245.12,80.231.154.27,195.219.213.129,66.110.28.12,66.110.28.15,5.78.0.86,83.169.183.70,88.134.202.217,145.254.3.102,145.254.2.209,213.133.121.193,213.239.252.9,213.239.224.150,145.254.2.181,195.2.5.13,195.2.18.182,62.115.174.154,62.115.114.90,62.115.136.251,62.115.122.26,5.223.0.78,62.115.141.148,62.115.123.13,62.115.135.24,62.115.139.244,62.115.115.76,62.115.139.107,62.115.115.25,62.115.112.45,80.239.132.89,5.78.0.185,5.78.0.77,4.39.3.245,171.75.10.35,212.133.6.2,213.239.224.26,213.239.228.6,213.239.228.38,198.32.195.42,5.223.0.181,5.223.0.85,5.223.0.69,62.115.170.54,62.115.136.198,62.115.140.42,62.115.136.250,62.115.138.104,62.115.122.35,62.115.137.118,213.248.95.243,213.239.228.14,5.223.0.133,5.223.0.73,103.60.60.117,132.147.112.109,184.105.64.138,5.78.0.78,184.105.64.137,5.223.0.81,5.223.0.77,184.105.213.118,184.105.64.253,62.115.140.50
65.108.117.172,0.0,15.065166249649241,15.065166249649241,0.0,15.065166249649241,15.065166249649241,0.0,397.0380499847559,1517.2278086473307,2293.6694864958495,9269.398967722518,9269.398967722518,9269.398967722518,9269.398967722518,9269.398967722518,9269.398967722518,15.065166249649241,15.065166249649241,15.065166249649241,7924.9288797495465,7924.9288797495465,7924.9288797495465,7931.854458481975,7931.854458481975,1507.2431680212114,1591.9356581918232,397.0380499847559,397.0380499847559,397.0380499847559,0.0,0.0,0.0,0.0,1591.9356581918232,1507.2431680212114,1517.2278086473307,1517.2278086473307,1517.2278086473307,880.9181334454642,1517.2278086473307,9269.398967722518,9269.398967722518,9269.398967722518,1507.2431680212114,1507.2431680212114,1517.2278086473307,1517.2278086473307,1517.2278086473307,1517.2278086473307,1517.2278086473307,1913.2196870642247,1913.2196870642247,1913.2196870642247,1825.6653787776045,7931.854458481975,7695.481071735018,7924.9288797495465,1591.9356581918232,1591.9356581918232,1517.2278086473307,1517.2278086473307,1603.3832557895284,1517.2278086473307,0.0,1591.9356581918232,1591.9356581918232,1517.2278086473307,1517.2278086473307,1517.2278086473307,2293.6694864958495,9269.398967722518,9269.398967722518,1517.2278086473307,1913.2196870642247,1825.6653787776045,6679.1670293601965,8027.441998663037,8779.494063815453,7924.9288797495465,7924.9288797495465,7695.481071735018,7924.9288797495465,7924.9288797495465,7924.9288797495465,0.0,0.0,0.0,0.0,0.0,7921.987827276024,9269.398967722518,9269.398967722518,9269.398967722518,9269.398967722518,9269.398967722518,2293.6694864958495,1517.2278086473307,397.0380499847559,0.0,0.0,0.0,0.0,9269.398967722518,9269.398967722518,9269.398967722518,9269.398967722518,7924.9288797495465,7924.9288797495465,7695.481071735018,9269.398967722518,9269.398967722518,7837.840699902982,9269.398967722518,2293.6694864958495
88.198.254.105,15.065166249649241,0.0,0.0,15.065166249649241,0.0,0.0,15.065166249649241,405.53751244791783,1530.6751174235726,2307.732526977858,9265.774916628394,9265.774916628394,9265.774916628394,9265.774916628394,9265.774916628394,9265.774916628394,0.0,0.0,0.0,7914.499154410521,7914.499154410521,7914.499154410521,7921.382542983716,7921.382542983716,1519.6572339191673,1606.4293382830035,405.53751244791783,405.53751244791783,405.53751244791783,15.065166249649241,15.065166249649241,15.065166249649241,15.065166249649241,1606.4293382830035,1519.6572339191673,1530.6751174235726,1530.6751174235726,1530.6751174235726,892.4555552005856,1530.6751174235726,9265.774916628394,9265.774916628394,9265.774916628394,1519.6572339191673,1519.6572339191673,1530.6751174235726,1530.6751174235726,1530.6751174235726,1530.6751174235726,1530.6751174235726,1925.403449985474,1925.403449985474,1925.403449985474,1836.063633830888,7921.382542983716,7684.978320828882,7914.499154410521,1606.4293382830035,1606.4293382830035,1530.6751174235726,1530.6751174235726,1617.881088690263,1530.6751174235726,15.065166249649241,1606.4293382830035,1606.4293382830035,1530.6751174235726,1530.6751174235726,1530.6751174235726,2307.732526977858,9265.774916628394,9265.774916628394,1530.6751174235726,1925.403449985474,1836.063633830888,6677.174123245952,8020.166074086895,8769.634433595953,7914.499154410521,7914.499154410521,7684.978320828882,7914.499154410521,7914.499154410521,7914.499154410521,15.065166249649241,15.065166249649241,15.065166249649241,15.065166249649241,15.065166249649241,7911.58260750778,9265.774916628394,9265.774916628394,9265.774916628394,9265.774916628394,9265.774916628394,2307.732526977858,1530.6751174235726,405.53751244791783,15.065166249649241,15.065166249649241,15.065166249649241,15.065166249649241,9265.774916628394,9265.774916628394,9265.774916628394,9265.774916628394,7914.499154410521,7914.499154410521,7684.978320828882,9265.774916628394,9265.774916628394,7824.6294107477015,9265.774916628394,2307.732526977858
213.239.228.37,15.065166249649241,0.0,0.0,15.065166249649241,0.0,0.0,15.065166249649241,405.53751244791783,1530.6751174235726,2307.732526977858,9265.774916628394,9265.774916628394,9265.774916628394,9265.774916628394,9265.774916628394,9265.774916628394,0.0,0.0,0.0,7914.499154410521,7914.499154410521,7914.499154410521,7921.382542983716,7921.382542983716,1519.6572339191673,1606.4293382830035,405.53751244791783,405.53751244791783,405.53751244791783,15.065166249649241,15.065166249649241,15.065166249649241,15.065166249649241,1606.4293382830035,1519.6572339191673,1530.6751174235726,1530.6751174235726,1530.6751174235726,892.4555552005856,1530.6751174235726,9265.774916628394,9265.774916628394,9265.774916628394,1519.6572339191673,1519.6572339191673,1530.6751174235726,1530.6751174235726,1530.6751174235726,1530.6751174235726,1530.6751174235726,1925.403449985474,1925.403449985474,1925.403449985474,1836.063633830888,7921.382542983716,7684.978320828882,7914.499154410521,1606.4293382830035,1606.4293382830035,1530.6751174235726,1530.6751174235726,1617.881088690263,1530.6751174235726,15.065166249649241,1606.4293382830035,1606.4293382830035,1530.6751174235726,1530.6751174235726,1530.6751174235726,2307.732526977858,9265.774916628394,9265.774916628394,1530.6751174235726,1925.403449985474,1836.063633830888,6677.174123245952,8020.166074086895,8769.634433595953,7914.499154410521,7914.499154410521,7684.978320828882,7914.499154410521,7914.499154410521,7914.499154410521,15.065166249649241,15.065166249649241,15.065166249649241,15.065166249649241,15.065166249649241,7911.58260750778,9265.774916628394,9265.774916628394,9265.774916628394,9265.774916628394,9265.774916628394,2307.732526977858,1530.6751174235726,405.53751244791783,15.065166249649241,15.065166249649241,15.065166249649241,15.065166249649241,9265.774916628394,9265.774916628394,9265.774916628394,9265.774916628394,7914.499154410521,7914.499154410521,7684.978320828882,9265.774916628394,9265.774916628394,7824.6294107477015,9265.774916628394,2307.732526977858
213.239.228.1,0.0,15.065166249649241,15.065166249649241,0.0,15.065166249649241,15.065166249649241,0.0,397.0380499847559,1517.2278086473307,2293.6694864958495,9269.398967722518,9269.398967722518,9269.398967722518,9269.398967722518,9269.398967722518,9269.398967722518,15.065166249649241,15.065166249649241,15.065166249649241,7924.9288797495465,7924.9288797495465,7924.9288797495465,7931.854458481975,7931.854458481975,1507.2431680212114,1591.9356581918232,397.0380499847559,397.0380499847559,397.0380499847559,0.0,0.0,0.0,0.0,1591.9356581918232,1507.2431680212114,1517.2278086473307,1517.2278086473307,1517.2278086473307,880.9181334454642,1517.2278086473307,9269.398967722518,9269.398967722518,9269.398967722518,1507.2431680212114,1507.2431680212114,1517.2278086473307,1517.2278086473307,1517.2278086473307,1517.2278086473307,1517.2278086473307,1913.2196870642247,1913.2196870642247,1913.2196870642247,1825.6653787776045,7931.854458481975,7695.481071735018,7924.9288797495465,1591.9356581918232,1591.9356581918232,1517.2278086473307,1517.2278086473307,1603.3832557895284,1517.2278086473307,0.0,1591.9356581918232,1591.9356581918232,1517.2278086473307,1517.2278086473307,1517.2278086473307,2293.6694864958495,9269.398967722518,9269.398967722518,1517.2278086473307,1913.2196870642247,1825.6653787776045,6679.1670293601965,8027.441998663037,8779.494063815453,7924.9288797495465,7924.9288797495465,7695.481071735018,7924.9288797495465,7924.9288797495465,7924.9288797495465,0.0,0.0,0.0,0.0,0.0,7921.987827276024,9269.398967722518,9269.398967722518,9269.398967722518,9269.398967722518,9269.398967722518,2293.6694864958495,1517.2278086473307,397.0380499847559,0.0,0.0,0.0,0.0,9269.398967722518,9269.398967722518,9269.398967722518,9269.398967722518,7924.9288797495465,7924.9288797495465,7695.481071735018,9269.398967722518,9269.398967722518,7837.840699902982,9269.398967722518,2293.6694864958495
213.239.224.37,15.065166249649241,0.0,0.0,15.065166249649241,0.0,0.0,15.065166249649241,405.53751244791783,1530.6751174235726,2307.732526977858,9265.774916628394,9265.774916628394,9265.774916628394,9265.774916628394,9265.774916628394,9265.774916628394,0.0,0.0,0.0,7914.499154410521,7914.499154410521,7914.499154410521,7921.382542983716,7921.382542983716,1519.6572339191673,1606.4293382830035,405.53751244791783,405.53751244791783,405.53751244791783,15.065166249649241,15.065166249649241,15.065166249649241,15.065166249649241,1606.4293382830035,1519.6572339191673,1530.6751174235726,1530.6751174235726,1530.6751174235726,892.4555552005856,1530.6751174235726,9265.774916628394,9265.774916628394,9265.774916628394,1519.6572339191673,1519.6572339191673,1530.6751174235726,1530.6751174235726,1530.6751174235726,1530.6751174235726,1530.6751174235726,1925.403449985474,1925.403449985474,1925.403449985474,1836.063633830888,7921.382542983716,7684.978320828882,7914.499154410521,1606.4293382830035,1606.4293382830035,1530.6751174235726,1530.6751174235726,1617.881088690263,1530.6751174235726,15.065166249649241,1606.4293382830035,1606.4293382830035,1530.6751174235726,1530.6751174235726,1530.6751174235726,2307.732526977858,9265.774916628394,9265.774916628394,1530.6751174235726,1925.403449985474,1836.063633830888,6677.174123245952,8020.166074086895,8769.634433595953,7914.499154410521,7914.499154410521,7684.978320828882,7914.499154410521,7914.499154410521,7914.499154410521,15.065166249649241,15.065166249649241,15.065166249649241,15.065166249649241,15.065166249649241,7911.58260750778,9265.774916628394,9265.774916628394,9265.774916628394,9265.774916628394,9265.774916628394,2307.732526977858,1530.6751174235726,405.53751244791783,15.065166249649241,15.065166249649241,15.065166249649241,15.065166249649241,9265.774916628394,9265.774916628394,9265.774916628394,9265.774916628394,7914.499154410521,7914.499154410521,7684.978320828882,9265.774916628394,9265.774916628394,7824.6294107477015,9265.774916628394,2307.732526977858
213.248.95.242,15.065166249649241,0.0,0.0,15.065166249649241,0.0,0.0,15.065166249649241,405.53751244791783,1530.6751174235726,2307.732526977858,9265.774916628394,9265.774916628394,9265.774916628394,9265.774916628394,9265.774916628394,9265.774916628394,0.0,0.0,0.0,7914.499154410521,7914.499154410521,7914.499154410521,7921.382542983716,7921.382542983716,1519.6572339191673,1606.4293382830035,405.53751244791783,405.53751244791783,405.53751244791783,15.065166249649241,15.065166249649241,15.065166249649241,15.065166249649241,1606.4293382830035,1519.6572339191673,1530.6751174235726,1530.6751174235726,1530.6751174235726,892.4555552005856,1530.6751174235726,9265.774916628394,9265.774916628394,9265.774916628394,1519.6572339191673,1519.6572339191673,1530.6751174235726,1530.6751174235726,1530.6751174235726,1530.6751174235726,1530.6751174235726,1925.403449985474,1925.403449985474,1925.403449985474,1836.063633830888,7921.382542983716,7684.978320828882,7914.499154410521,1606.4293382830035,1606.4293382830035,1530.6751174235726,1530.6751174235726,1617.881088690263,1530.6751174235726,15.065166249649241,1606.4293382830035,1606.4293382830035,1530.6751174235726,1530.6751174235726,1530.6751174235726,2307.732526977858,9265.774916628394,9265.774916628394,1530.6751174235726,1925.403449985474,1836.063633830888,6677.174123245952,8020.166074086895,8769.634433595953,7914.499154410521,7914.499154410521,7684.978320828882,7914.499154410521,7914.499154410521,7914.499154410521,15.065166249649241,15.065166249649241,15.065166249649241,15.065166249649241,15.065166249649241,7911.58260750778,9265.774916628394,9265.774916628394,9265.774916628394,9265.774916628394,9265.774916628394,2307.732526977858,1530.6751174235726,405.53751244791783,15.065166249649241,15.065166249649241,15.065166249649241,15.065166249649241,9265.774916628394,9265.774916628394,9265.774916628394,9265.774916628394,7914.499154410521,7914.499154410521,7684.978320828882,9265.774916628394,9265.774916628394,7824.6294107477015,9265.774916628394,2307.732526977858
62.115.137.135,0.0,15.065166249649241,15.065166249649241,0.0,15.065166249649241,15.065166249649241,0.0,397.0380499847559,1517.2278086473307,2293.6694864958495,9269.398967722518,9269.398967722518,9269.398967722518,9269.398967722518,9269.398967722518,9269.398967722518,15.065166249649241,15.065166249649241,15.065166249649241,7924.9288797495465,7924.9288797495465,7924.9288797495465,7931.854458481975,7931.854458481975,1507.2431680212114,1591.9356581918232,397.0380499847559,397.0380499847559,397.0380499847559,0.0,0.0,0.0,0.0,1591.9356581918232,1507.2431680212114,1517.2278086473307,1517.2278086473307,1517.2278086473307,880.9181334454642,1517.2278086473307,9269.398967722518,9269.398967722518,9269.398967722518,1507.2431680212114,1507.2431680212114,1517.2278086473307,1517.2278086473307,1517.2278086473307,1517.2278086473307,1517.2278086473307,1913.2196870642247,1913.2196870642247,1913.2196870642247,1825.6653787776045,7931.854458481975,7695.481071735018,7924.9288797495465,1591.9356581918232,1591.9356581918232,1517.2278086473307,1517.2278086473307,1603.3832557895284,1517.2278086473307,0.0,1591.9356581918232,1591.9356581918232,1517.2278086473307,1517.2278086473307,1517.2278086473307,2293.6694864958495,9269.398967722518,9269.398967722518,1517.2278086473307,1913.2196870642247,1825.6653787776045,6679.1670293601965,8027.441998663037,8779.494063815453,7924.9288797495465,7924.9288797495465,7695.481071735018,7924.9288797495465,7924.9288797495465,7924.9288797495465,0.0,0.0,0.0,0.0,0.0,7921.987827276024,9269.398967722518,9269.398967722518,9269.398967722518,9269.398967722518,9269.398967722518,2293.6694864958495,1517.2278086473307,397.0380499847559,0.0,0.0,0.0,0.0,9269.398967722518,9269.398967722518,9269.398967722518,9269.398967722518,7924.9288797495465,7924.9288797495465,7695.481071735018,9269.398967722518,9269.398967722518,7837.840699902982,9269.398967722518,2293.6694864958495
62.115.123.26,397.0380499847559,405.53751244791783,405.53751244791783,397.0380499847559,405.53751244791783,405.53751244791783,397.0380499847559,0.0,1188.0986771958997,1983.1414287740024,9643.738105072143,9643.738105072143,9643.738105072143,9643.738105072143,9643.738105072143,9643.738105072143,405.53751244791783,405.53751244791783,405.53751244791783,7841.638344259968,7841.638344259968,7841.638344259968,7850.06122645776,7850.06122645776,1148.1903462080902,1315.7911370749925,0.0,0.0,0.0,397.0380499847559,397.0380499847559,397.0380499847559,397.0380499847559,1315.7911370749925,1148.1903462080902,1188.0986771958997,1188.0986771958997,1188.0986771958997,511.75206644185886,1188.0986771958997,9643.738105072143,9643.738105072143,9643.738105072143,1148.1903462080902,1148.1903462080902,1188.0986771958997,1188.0986771958997,1188.0986771958997,1188.0986771958997,1188.0986771958997,1547.071403343897,1547.071403343897,1547.071403343897,1436.311727264703,7850.06122645776,7615.308057356592,7841.638344259968,1315.7911370749925,1315.7911370749925,1188.0986771958997,1188.0986771958997,1327.33392612643,1188.0986771958997,397.0380499847559,1315.7911370749925,1315.7911370749925,1188.0986771958997,1188.0986771958997,1188.0986771958997,1983.1414287740024,9643.738105072143,9643.738105072143,1188.0986771958997,1547.071403343897,1436.311727264703,6383.211442179792,7846.478885061657,8674.703875154228,7841.638344259968,7841.638344259968,7615.308057356592,7841.638344259968,7841.638344259968,7841.638344259968,397.0380499847559,397.0380499847559,397.0380499847559,397.0380499847559,397.0380499847559,7837.828419767655,9643.738105072143,9643.738105072143,9643.738105072143,9643.738105072143,9643.738105072143,1983.1414287740024,1188.0986771958997,0.0,397.0380499847559,397.0380499847559,397.0380499847559,397.0380499847559,9643.738105072143,9643.738105072143,9643.738105072143,9643.738105072143,7841.638344259968,7841.638344259968,7615.308057356592,9643.738105072143,9643.738105072143,8189.842466709166,9643.738105072143,1983.1414287740024
62.115.143.29,1517.2278086473307,1530.6751174235726,1530.6751174235726,1517.2278086473307,1530.6751174235726,1530.6751174235726,1517.2278086473307,1188.0986771958997,0.0,798.7463212844513,10268.539371097742,10268.539371097742,10268.539371097742,10268.539371097742,10268.539371097742,10268.539371097742,1530.6751174235726,1530.6751174235726,1530.6751174235726,8417.62758455445,8417.62758455445,8417.62758455445,8429.821068823921,8429.821068823921,202.65383649277138,304.79379716440894,1188.0986771958997,1188.0986771958997,1188.0986771958997,1517.2278086473307,1517.2278086473307,1517.2278086473307,1517.2278086473307,304.79379716440894,202.65383649277138,0.0,0.0,0.0,690.6297021269635,0.0,10268.539371097742,10268.539371097742,10268.539371097742,202.65383649277138,202.65383649277138,0.0,0.0,0.0,0.0,0.0,479.8665990660606,479.8665990660606,479.8665990660606,639.5364669609484,8429.821068823921,8203.994892894763,8417.62758455445,304.79379716440894,304.79379716440894,0.0,0.0,310.3132358840196,0.0,1517.2278086473307,304.79379716440894,304.79379716440894,0.0,0.0,0.0,798.7463212844513,10268.539371097742,10268.539371097742,0.0,479.8665990660606,639.5364669609484,6279.266674385426,8137.324599327612,9175.908692643607,8417.62758455445,8417.62758455445,8203.994892894763,8417.62758455445,8417.62758455445,8417.62758455445,1517.2278086473307,1517.2278086473307,1517.2278086473307,1517.2278086473307,1517.2278086473307,8411.603213267503,10268.539371097742,10268.539371097742,10268.539371097742,10268.539371097742,10268.539371097742,798.7463212844513,0.0,1188.0986771958997,1517.2278086473307,1517.2278086473307,1517.2278086473307,1517.2278086473307,10268.539371097742,10268.539371097742,10268.539371097742,10268.539371097742,8417.62758455445,8417.62758455445,8203.994892894763,10268.539371097742,10268.539371097742,9354.374113252714,10268.539371097742,798.7463212844513
62.115.136.249,2293.6694864958495,2307.732526977858,2307.732526977858,2293.6694864958495,2307.732526977858,2307.732526977858,2293.6694864958495,1983.1414287740024,798.7463212844513,0.0,10598.53223908886,10598.53223908886,10598.53223908886,10598.53223908886,10598.53223908886,10598.53223908886,2307.732526977858,2307.732526977858,2307.732526977858,8910.727571879648,8910.727571879648,8910.727571879648,8924.992116393501,8924.992116393501,898.1495452970961,722.0337594826591,1983.1414287740024,1983.1414287740024,1983.1414287740024,2293.6694864958495,2293.6694864958495,2293.6694864958495,2293.6694864958495,722.0337594826591,898.1495452970961,798.7463212844513,798.7463212844513,798.7463212844513,1489.3609023403205,798.7463212844513,10598.53223908886,10598.53223908886,10598.53223908886,898.1495452970961,898.1495452970961,798.7463212844513,798.7463212844513,798.7463212844513,798.7463212844513,798.7463212844513,660.5120864316079,660.5120864316079,660.5120864316079,1002.4083392486834,8924.992116393501,8707.498388147778,8910.727571879648,722.0337594826591,722.0337594826591,798.7463212844513,798.7463212844513,711.5219400239812,798.7463212844513,2293.6694864958495,722.0337594826591,722.0337594826591,798.7463212844513,798.7463212844513,798.7463212844513,0.0,10598.53223908886,10598.53223908886,798.7463212844513,660.5120864316079,1002.4083392486834,6389.570026164244,8460.838097694968,9613.078599480812,8910.727571879648,8910.727571879648,8707.498388147778,8910.727571879648,8910.727571879648,8910.727571879648,2293.6694864958495,2293.6694864958495,2293.6694864958495,2293.6694864958495,2293.6694864958495,8903.471201811968,10598.53223908886,10598.53223908886,10598.53223908886,10598.53223908886,10598.53223908886,0.0,798.7463212844513,1983.1414287740024,2293.6694864958495,2293.6694864958495,2293.6694864958495,2293.6694864958495,10598.53223908886,10598.53223908886,10598.53223908886,10598.53223908886,8910.727571879648,8910.727571879648,8707.498388147778,10598.53223908886,10598.53223908886,10112.788761861897,10598.53223908886,0.0
